order_id,order_hour,distance_km,prep_time_min,delivery_time_min,order_value,surge_multiplier,rating,cuisine,traffic_level,weather
1,6,8.98,23,39,48.25,2.0,4.8,Chinese,Low,Clear
2,19,2.44,33,70,23.37,1.0,4.0,American,Low,Clear
3,14,6.94,10,78,50.73,1.2,4.7,Thai,High,Storm
4,10,7.04,29,86,38.83,1.0,4.3,Thai,Low,Clear
5,7,14.4,28,66,43.33,1.0,5.0,Chinese,Low,Clear
6,20,6.75,29,23,21.19,1.2,3.7,Mexican,Medium,Clear
7,6,8.47,20,24,35.18,1.0,3.7,Thai,Medium,Rain
8,18,8.23,20,24,39.87,1.0,3.7,Indian,Medium,Rain
9,22,9.73,10,87,37.4,1.0,4.3,Chinese,Medium,Clear
10,10,11.35,25,76,55.34,1.0,5.0,Thai,Medium,Rain
11,10,3.76,8,74,54.4,1.0,5.0,Chinese,Low,Clear
12,23,8.17,38,33,58.4,1.5,3.0,Chinese,Low,Clear
13,20,12.48,32,52,41.71,1.0,4.3,American,Medium,Clear
14,3,7.22,32,20,58.46,1.0,2.6,Mexican,High,Clear
15,7,4.54,21,29,50.79,1.0,4.6,Mexican,High,Storm
16,23,9.99,18,61,19.9,1.0,4.8,American,Medium,Clear
17,2,12.44,11,59,28.51,1.0,4.2,Chinese,Low,Clear
18,21,1.42,26,19,18.11,1.0,4.2,Chinese,High,Rain
19,20,11.76,5,67,5.23,1.0,4.2,Indian,Low,Clear
20,1,12.41,33,80,15.34,1.0,3.8,Thai,Low,Clear
21,23,7.19,35,76,5.22,1.2,4.4,Chinese,High,Clear
22,11,14.76,34,37,44.59,1.2,4.1,Thai,Medium,Clear
23,5,11.91,19,58,28.4,1.0,4.7,Italian,Low,Clear
24,1,11.72,22,66,22.19,1.0,4.1,Thai,High,Storm
25,20,11.34,39,60,46.89,1.5,3.8,Chinese,High,Clear
26,0,2.68,34,33,50.79,1.0,3.4,Indian,Low,Rain
27,11,3.65,38,61,58.64,1.5,3.3,Italian,High,Clear
28,21,7.23,15,66,40.31,1.0,4.9,Indian,Medium,Clear
29,11,4.33,31,38,30.38,1.0,4.0,Thai,Low,Clear
30,16,6.52,28,31,21.79,1.2,4.4,Indian,High,Clear
31,9,13.38,39,60,17.23,1.5,5.0,Thai,Low,Rain
